,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2128,low,high,low,medium,high,medium,medium,medium,high,medium,low,6
2129,medium,medium,high,low,low,low,low,low,high,high,high,5
2130,medium,high,low,low,medium,low,medium,low,high,low,medium,5
2131,medium,low,medium,high,high,high,high,high,high,low,low,6
2132,medium,low,medium,high,high,high,high,high,high,low,low,6
2133,high,medium,low,low,low,low,high,low,low,high,high,6
2134,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,6
2135,high,low,low,medium,high,medium,high,high,high,high,medium,5
2136,high,low,medium,medium,high,medium,medium,medium,high,medium,medium,6
2137,high,low,low,medium,high,medium,high,high,high,high,medium,5
2138,low,medium,medium,high,high,low,low,medium,high,low,medium,5
2139,medium,high,high,high,high,low,low,high,low,low,low,5
2140,high,medium,medium,high,high,medium,low,high,high,medium,low,5
2141,high,medium,medium,high,high,medium,low,high,high,medium,low,5
2142,high,medium,high,high,medium,high,high,high,low,medium,low,5
2143,low,low,medium,medium,low,low,low,low,high,high,high,7
2144,high,low,medium,high,high,high,medium,high,medium,medium,medium,6
2145,high,low,medium,high,high,high,high,high,high,low,medium,6
2146,high,low,medium,medium,high,low,low,high,high,low,low,6
2147,low,medium,low,high,medium,low,medium,high,low,high,medium,5
2148,medium,high,high,high,high,low,low,high,low,low,low,5
2149,medium,medium,medium,medium,low,medium,low,low,medium,medium,high,6
2150,medium,medium,medium,medium,low,medium,low,low,medium,low,high,6
2151,high,medium,medium,high,high,medium,low,high,high,medium,low,5
2152,medium,low,medium,low,high,low,low,medium,medium,low,medium,6
2153,high,low,high,low,high,low,low,medium,high,medium,medium,6
2154,high,high,high,high,high,medium,high,high,low,high,medium,4
2155,high,medium,medium,high,low,medium,high,high,low,medium,medium,5
2156,high,medium,medium,medium,low,low,low,low,low,low,high,4
2157,high,medium,low,medium,low,medium,low,low,low,low,high,6
2158,high,low,low,low,medium,low,low,medium,high,high,medium,6
2159,low,medium,high,low,low,low,low,low,high,low,high,4
2160,low,high,high,high,medium,medium,medium,high,high,medium,medium,6
2161,medium,high,low,medium,low,medium,low,low,medium,medium,high,7
2162,high,high,low,medium,high,low,low,medium,low,medium,low,6
2163,high,medium,low,medium,low,medium,low,low,low,low,high,6
2164,high,low,low,high,low,high,medium,high,low,low,high,5
2165,medium,high,medium,low,high,low,high,medium,medium,medium,low,5
2166,medium,high,medium,low,high,low,high,medium,medium,medium,low,5
2167,high,low,medium,high,high,high,high,high,medium,medium,low,7
2168,high,low,medium,high,high,high,high,high,medium,medium,low,7
2169,high,low,medium,high,high,high,high,high,medium,medium,low,7
2170,high,low,medium,high,high,high,high,high,medium,medium,low,7
2171,high,low,medium,high,high,high,high,high,medium,medium,low,7
2172,medium,high,low,medium,medium,low,low,high,medium,low,low,5
2173,high,high,high,high,high,high,high,high,medium,high,low,5
2174,high,low,medium,high,high,high,high,high,medium,medium,low,7
2175,high,low,medium,high,high,high,high,high,medium,medium,low,7
2176,medium,high,low,medium,medium,low,low,high,medium,low,low,5
2177,low,high,low,medium,high,low,medium,medium,high,medium,low,7
2178,high,high,high,high,high,high,high,high,medium,high,low,5
2179,high,medium,medium,low,medium,medium,low,medium,medium,high,medium,6
2180,high,high,high,high,high,medium,medium,high,high,medium,low,6
2181,high,medium,low,medium,medium,medium,low,low,low,low,medium,6
2182,medium,high,low,high,medium,medium,medium,high,medium,medium,medium,5
2183,low,medium,low,medium,medium,medium,medium,medium,medium,medium,low,5
2184,low,high,low,high,medium,medium,low,high,high,medium,medium,6
2185,high,low,medium,high,high,low,low,high,medium,medium,low,7
2186,low,high,high,low,high,low,low,medium,low,high,low,5
2187,medium,medium,low,low,high,low,medium,medium,low,low,low,5
2188,low,low,medium,high,high,low,low,high,high,medium,low,6
2189,medium,low,medium,high,medium,medium,medium,high,low,high,low,6
2190,high,medium,high,medium,medium,medium,low,low,high,medium,high,6
2191,high,low,medium,high,low,medium,medium,high,low,low,low,5
2192,high,medium,high,medium,high,medium,medium,high,high,medium,low,6
2193,medium,low,medium,high,medium,medium,medium,high,low,high,low,6
2194,low,low,medium,high,high,low,low,high,high,medium,low,6
2195,medium,medium,low,low,high,low,medium,medium,low,low,low,5
2196,medium,low,low,low,low,low,low,low,low,low,high,6
2197,high,low,medium,low,low,low,low,low,low,low,high,6
2198,medium,medium,low,high,high,high,high,high,medium,medium,low,5
2199,medium,medium,high,high,high,high,high,high,medium,medium,low,6
2200,low,medium,low,medium,high,medium,high,high,high,high,low,5
2201,low,medium,low,low,high,low,medium,medium,medium,high,medium,6
2202,medium,medium,low,high,high,high,high,high,medium,medium,low,5
2203,high,medium,high,low,high,low,high,medium,medium,high,medium,5
2204,high,medium,medium,low,high,low,high,medium,medium,high,medium,5
2205,high,high,medium,high,high,medium,high,high,high,high,medium,5
2206,high,medium,medium,high,low,low,medium,high,low,low,high,6
2207,medium,low,low,medium,medium,medium,medium,low,medium,high,high,7
2208,medium,medium,medium,low,low,low,medium,low,medium,medium,high,5
2209,medium,high,medium,low,medium,low,medium,low,medium,high,high,6
2210,high,medium,low,low,high,high,medium,medium,medium,medium,medium,7
2211,medium,low,medium,low,high,medium,medium,medium,high,high,medium,6
2212,medium,high,medium,low,medium,low,medium,low,medium,high,high,6
2213,high,low,medium,low,medium,low,low,medium,high,high,medium,6
2214,medium,medium,medium,low,low,low,medium,low,medium,medium,high,5
2215,high,medium,medium,high,medium,medium,high,high,medium,low,medium,6
2216,high,medium,high,low,high,low,low,medium,high,high,medium,5
2217,high,medium,high,medium,high,low,medium,medium,medium,low,high,6
2218,high,medium,medium,medium,medium,medium,high,medium,high,high,medium,6
2219,low,medium,medium,low,low,medium,medium,low,high,low,high,7
2220,medium,low,medium,low,medium,medium,medium,low,low,medium,medium,6
2221,high,medium,medium,high,medium,medium,high,high,medium,low,medium,6
2222,high,high,low,high,high,low,high,high,low,medium,high,7
2223,medium,low,medium,high,high,high,high,high,high,low,medium,6
2224,high,high,low,high,high,low,high,high,low,medium,high,7
2225,high,low,low,high,high,medium,high,high,low,medium,low,4
2226,high,medium,high,high,medium,high,high,high,low,medium,low,5
2227,high,medium,high,high,medium,high,high,high,low,medium,low,5
2228,medium,low,medium,high,medium,high,medium,high,low,high,low,7
2229,medium,medium,medium,high,low,high,medium,medium,medium,low,high,6
2230,medium,low,medium,high,medium,high,medium,high,low,high,low,7
2231,medium,medium,medium,high,low,high,medium,medium,medium,low,high,6
2232,high,low,medium,medium,high,low,low,medium,low,medium,low,6
2233,low,high,medium,low,high,low,high,medium,high,medium,low,5
2234,high,low,high,medium,high,low,low,medium,medium,high,low,5
2235,medium,high,high,high,medium,low,medium,high,high,medium,low,6
2236,medium,medium,low,medium,medium,high,high,high,medium,medium,low,5
2237,low,high,low,high,high,medium,high,high,medium,medium,low,4
2238,low,low,medium,medium,medium,medium,medium,medium,high,medium,medium,6
2239,medium,high,high,high,medium,low,medium,high,high,medium,low,6
2240,high,medium,low,high,medium,medium,high,high,medium,medium,low,5
2241,medium,medium,low,medium,medium,high,high,high,medium,medium,low,5
2242,low,low,high,high,high,high,high,high,low,high,low,5
2243,medium,low,high,high,medium,high,high,high,high,high,medium,5
2244,medium,high,low,high,medium,medium,high,high,medium,medium,low,5
2245,high,high,low,medium,low,medium,medium,medium,medium,low,medium,7
2246,low,high,low,high,high,medium,high,high,medium,medium,low,4
2247,low,low,medium,medium,medium,medium,medium,medium,high,medium,medium,6
2248,high,low,medium,low,medium,low,low,medium,high,medium,medium,6
2249,low,medium,low,medium,medium,high,high,high,medium,medium,low,5
2250,high,high,high,high,high,high,high,high,low,high,low,6
2251,high,low,medium,low,medium,medium,low,medium,high,high,medium,7
2252,high,medium,low,medium,medium,high,high,high,medium,medium,low,5
2253,low,medium,low,medium,medium,high,high,high,medium,medium,low,5
2254,low,medium,low,medium,high,high,high,low,medium,low,medium,6
2255,high,low,low,low,medium,medium,medium,medium,high,medium,medium,6
2256,medium,low,medium,low,medium,low,medium,low,low,high,medium,5
2257,high,high,high,low,high,medium,medium,medium,low,high,low,6
2258,high,high,low,high,high,high,high,high,medium,medium,low,5
2259,high,high,high,low,high,medium,medium,medium,low,high,low,6
2260,high,high,low,high,high,high,high,high,medium,medium,low,5
2261,low,high,medium,medium,high,low,medium,medium,medium,medium,low,6
2262,high,medium,medium,medium,low,low,low,low,low,medium,high,6
2263,medium,medium,low,high,high,high,high,high,low,medium,low,5
2264,medium,low,high,high,medium,high,medium,high,high,high,medium,6
2265,medium,medium,low,high,high,high,high,high,low,medium,low,5
2266,high,high,medium,medium,low,low,high,medium,low,low,medium,5
2267,medium,low,high,high,medium,high,medium,high,high,high,medium,6
2268,low,low,medium,medium,low,medium,medium,high,high,low,low,6
2269,high,low,high,high,high,high,high,high,low,high,low,6
2270,high,low,low,low,high,medium,low,medium,high,high,medium,7
2271,medium,medium,low,high,high,high,high,high,high,medium,medium,6
2272,low,medium,low,high,low,medium,low,medium,high,low,medium,6
2273,low,high,medium,medium,high,low,low,high,high,medium,medium,5
2274,high,low,low,low,high,medium,low,medium,high,high,medium,7
2275,high,medium,low,high,high,high,high,high,low,medium,low,4
2276,medium,high,low,medium,medium,high,high,high,medium,medium,low,6
2277,high,low,medium,low,low,low,low,medium,high,low,medium,6
2278,medium,high,low,medium,medium,high,high,high,medium,medium,low,6
2279,medium,high,high,low,high,high,medium,medium,low,high,low,5
2280,low,low,low,low,medium,low,low,medium,high,high,medium,6
2281,low,low,low,low,medium,low,low,medium,high,high,medium,6
2282,high,high,low,high,high,high,high,high,low,high,low,5
2283,high,high,low,high,high,high,high,high,low,high,low,5
2284,high,high,low,high,high,high,high,high,low,high,low,5
2285,high,high,low,high,high,high,high,high,low,high,low,5
2286,medium,high,low,medium,high,high,medium,medium,medium,medium,low,5
2287,medium,high,low,medium,high,high,medium,medium,medium,medium,low,5
2288,high,high,low,high,high,high,high,high,low,high,low,5
2289,high,high,low,medium,low,low,low,low,medium,high,high,7
2290,high,low,low,low,medium,low,low,medium,high,high,medium,7
2291,high,low,low,medium,medium,medium,medium,medium,low,high,medium,6
2292,low,high,low,low,high,medium,high,medium,medium,medium,medium,6
2293,high,high,low,medium,low,low,low,low,medium,high,high,7
2294,medium,high,medium,medium,low,medium,low,low,high,high,high,7
2295,high,high,low,medium,medium,high,medium,medium,medium,low,medium,6
2296,medium,medium,medium,medium,medium,high,high,medium,high,high,medium,7
2297,low,medium,high,high,medium,high,high,high,medium,high,low,6
2298,low,high,low,medium,low,low,low,low,high,high,high,8
2299,medium,high,medium,medium,low,medium,low,low,high,high,high,7
2300,high,medium,medium,low,medium,medium,medium,low,high,medium,high,7
2301,medium,low,low,high,high,low,medium,high,high,medium,low,5
2302,low,medium,low,medium,high,high,high,high,medium,low,low,5
2303,medium,high,low,high,high,low,medium,high,medium,medium,low,5
2304,high,high,low,low,high,low,high,medium,low,low,low,6
2305,medium,high,medium,medium,medium,medium,medium,low,high,low,high,7
2306,low,medium,low,low,high,low,medium,medium,medium,high,medium,5
2307,medium,low,high,high,high,medium,high,high,low,medium,low,5
2308,high,medium,medium,low,medium,medium,medium,medium,low,medium,low,5
2309,high,medium,medium,low,low,low,medium,low,medium,medium,medium,6
2310,medium,low,high,high,high,medium,high,high,low,medium,low,5
2311,medium,low,low,medium,low,high,medium,low,high,low,high,7
2312,high,medium,medium,low,medium,medium,medium,medium,low,medium,low,5
2313,medium,high,medium,medium,low,low,low,low,high,high,high,7
2314,medium,low,medium,medium,low,high,medium,low,high,low,high,6
2315,high,high,high,high,high,high,medium,high,high,high,medium,6
2316,high,low,medium,low,low,medium,low,low,high,low,high,7
2317,high,medium,high,high,medium,high,medium,high,medium,medium,low,5
2318,high,medium,high,high,medium,high,high,high,medium,medium,low,4
2319,medium,high,medium,low,low,medium,low,low,high,medium,high,7
2320,high,low,medium,high,low,high,medium,medium,low,high,high,6
2321,low,high,low,low,high,low,high,medium,high,high,medium,5
2322,low,high,low,low,low,low,medium,low,medium,high,medium,6
2323,high,low,medium,low,medium,high,medium,medium,high,high,high,6
2324,medium,medium,low,medium,medium,high,high,high,medium,medium,low,5
2325,medium,high,low,low,high,low,medium,medium,medium,low,low,6
2326,medium,high,high,high,low,low,low,high,low,low,low,5
2327,medium,high,low,low,high,low,medium,medium,medium,low,low,6
2328,medium,high,high,high,low,low,low,high,low,low,low,5
2329,high,medium,high,low,high,medium,high,medium,medium,high,medium,5
2330,high,high,medium,high,high,low,high,high,high,high,low,6
2331,high,medium,medium,low,low,medium,high,low,low,low,medium,5
2332,low,high,medium,high,high,medium,high,high,high,high,low,6
2333,medium,high,low,low,low,high,low,low,high,high,high,8
2334,high,low,medium,high,high,high,high,high,high,low,low,5
2335,high,medium,medium,high,medium,high,medium,high,medium,medium,medium,5
2336,medium,medium,low,medium,medium,high,high,medium,high,high,medium,5
2337,low,medium,medium,high,high,high,high,high,medium,high,low,4
2338,high,high,medium,high,high,medium,high,high,high,high,low,5
2339,medium,low,low,medium,medium,low,low,medium,medium,high,low,6
2340,high,medium,medium,medium,high,low,high,high,high,high,medium,6
2341,high,high,medium,high,high,medium,high,high,high,high,low,5
2342,high,high,low,medium,low,low,low,low,medium,high,high,8
2343,medium,low,low,low,low,medium,medium,medium,high,medium,medium,5
2344,medium,low,low,medium,medium,low,low,medium,medium,high,low,6
2345,high,medium,low,high,medium,medium,high,high,low,medium,medium,6
2346,high,medium,high,high,medium,high,high,high,low,medium,low,4
2347,high,low,medium,medium,low,low,low,low,low,high,medium,6
2348,high,medium,medium,low,low,low,medium,low,low,high,high,6
2349,high,high,high,high,high,low,high,high,low,high,low,5
2350,high,high,low,high,medium,high,high,high,high,high,medium,5
2351,high,medium,medium,high,medium,high,high,high,low,high,low,6
2352,low,medium,low,low,high,medium,medium,medium,medium,medium,low,6
2353,medium,low,low,low,medium,high,low,medium,high,medium,medium,7
2354,low,low,low,low,medium,low,low,low,high,medium,high,6
2355,high,high,medium,medium,low,low,medium,low,high,medium,high,7
2356,medium,high,medium,low,high,medium,medium,medium,high,medium,medium,6
2357,high,low,high,low,low,low,low,medium,medium,low,high,5
2358,high,high,low,high,medium,high,high,high,low,high,low,5
2359,low,high,low,medium,high,low,medium,medium,low,low,low,5
2360,high,medium,medium,high,high,medium,medium,high,medium,medium,medium,6
2361,high,medium,high,medium,high,low,low,medium,high,high,low,5
2362,low,low,medium,low,low,medium,medium,medium,high,medium,medium,6
2363,medium,medium,low,high,high,high,high,high,high,low,low,5
2364,medium,high,low,low,high,high,high,medium,high,medium,low,5
2365,high,high,medium,low,high,low,medium,medium,medium,medium,medium,5
2366,high,high,high,medium,high,medium,high,high,low,medium,low,5
2367,high,medium,medium,high,high,medium,high,high,medium,medium,low,6
2368,high,high,medium,high,low,high,high,high,high,low,medium,6
2369,low,low,medium,medium,low,medium,medium,medium,high,medium,medium,6
2370,low,low,low,medium,medium,low,low,medium,high,medium,medium,7
2371,low,high,high,medium,high,high,high,high,medium,low,low,5
2372,low,high,low,medium,low,low,low,low,high,low,high,4
2373,high,high,high,low,low,low,low,medium,low,high,medium,3
2374,high,low,medium,low,medium,high,high,low,high,low,high,6
2375,medium,high,medium,medium,low,medium,medium,low,high,low,high,6
2376,high,low,medium,low,medium,high,high,low,high,low,high,6
2377,medium,low,medium,high,high,low,low,high,high,medium,medium,6
2378,high,low,high,high,high,high,high,high,low,medium,low,5
2379,low,medium,low,low,high,low,high,medium,high,high,low,4
2380,low,medium,low,low,high,low,high,medium,high,high,low,4
2381,medium,low,high,medium,medium,medium,medium,medium,high,high,medium,6
2382,medium,low,low,medium,low,low,low,medium,medium,medium,medium,8
2383,medium,medium,medium,medium,low,low,low,medium,high,high,medium,6
2384,medium,low,low,medium,low,low,low,medium,medium,medium,medium,8
2385,high,low,high,high,medium,high,high,high,low,low,low,5
2386,medium,medium,medium,low,high,low,high,medium,high,high,medium,4
2387,medium,medium,medium,low,high,low,high,medium,high,high,medium,4
2388,high,low,medium,low,medium,low,low,low,low,medium,high,4
2389,medium,high,low,medium,medium,medium,low,low,high,medium,high,8
2390,medium,medium,low,low,medium,medium,medium,medium,high,medium,medium,8
2391,low,medium,medium,high,medium,medium,high,medium,medium,high,medium,6
2392,low,low,medium,low,high,high,medium,medium,high,medium,low,7
2393,low,low,medium,low,high,high,medium,medium,high,medium,low,6
2394,low,high,high,high,high,high,high,high,high,medium,low,5
2395,medium,medium,medium,medium,high,medium,high,high,high,high,medium,5
2396,high,medium,low,high,medium,low,high,high,low,high,low,5
2397,low,low,low,medium,low,low,low,low,medium,low,high,6
2398,high,high,high,low,low,low,low,low,medium,medium,high,6
2399,low,low,low,low,medium,low,low,medium,high,high,medium,6
2400,high,low,high,low,medium,low,low,medium,low,high,medium,4
2401,high,low,high,low,medium,low,low,medium,low,high,medium,4
2402,high,medium,low,high,low,high,high,high,low,high,medium,6
2403,high,high,medium,low,low,low,medium,low,low,high,high,6
2404,high,low,high,low,medium,low,medium,high,low,high,low,5
2405,medium,low,low,high,medium,high,high,high,medium,medium,low,5
2406,high,high,low,medium,low,low,low,low,medium,medium,high,6
2407,high,high,low,medium,low,low,low,medium,high,high,medium,6
2408,high,high,low,high,medium,high,high,high,low,medium,low,5
2409,medium,low,low,medium,low,low,low,medium,high,high,medium,4
2410,medium,low,low,medium,medium,medium,high,high,high,high,medium,6
2411,high,medium,low,high,medium,high,high,high,low,medium,low,6
2412,low,high,low,high,high,high,high,high,high,high,low,4
2413,medium,low,low,medium,low,low,low,medium,high,high,medium,4
2414,low,high,low,medium,high,medium,high,high,high,high,low,4
2415,high,medium,medium,low,high,low,low,medium,low,medium,medium,5
2416,medium,low,low,medium,medium,medium,high,high,high,high,medium,6
2417,high,high,low,high,medium,high,high,high,medium,medium,low,5
2418,low,high,low,low,low,low,low,medium,medium,low,low,5
2419,low,high,high,high,high,high,high,high,high,high,low,5
2420,high,high,medium,medium,low,low,medium,low,low,medium,high,7
2421,medium,medium,high,high,medium,high,high,high,high,high,low,5
2422,low,high,low,medium,high,medium,high,high,high,high,low,5
2423,high,medium,medium,medium,low,low,low,medium,high,high,medium,6
2424,low,high,low,medium,high,medium,high,high,high,high,low,5
2425,high,medium,medium,medium,low,low,low,medium,high,high,medium,6
2426,high,low,low,low,medium,medium,high,low,high,medium,high,6
2427,high,high,low,medium,medium,high,high,high,medium,high,medium,6
2428,high,low,low,low,medium,medium,high,low,high,medium,high,6
2429,high,high,low,medium,medium,high,high,high,medium,high,medium,6
2430,low,medium,low,high,medium,high,high,high,medium,medium,low,5
2431,low,medium,low,medium,medium,high,high,high,medium,low,low,5
2432,low,medium,low,high,medium,high,high,high,medium,medium,low,5
2433,high,high,low,high,high,high,high,high,low,medium,low,6
2434,high,medium,low,high,medium,high,high,high,low,high,low,6
2435,low,high,medium,medium,low,low,medium,medium,medium,medium,medium,4
2436,medium,high,low,high,high,medium,high,high,medium,low,low,5
2437,high,medium,low,medium,high,medium,medium,medium,medium,medium,medium,6
2438,medium,high,low,high,high,medium,high,high,medium,low,low,5
2439,high,medium,high,high,medium,medium,medium,high,high,high,medium,6
2440,medium,high,low,medium,high,high,high,medium,medium,medium,medium,5
2441,high,low,low,low,low,low,high,low,medium,high,high,6
2442,high,medium,medium,high,high,medium,high,high,low,medium,low,5
2443,medium,high,medium,medium,high,medium,high,medium,medium,high,medium,5
2444,high,medium,medium,high,high,medium,high,high,low,medium,low,5
2445,medium,high,medium,medium,high,medium,high,medium,medium,high,medium,5
2446,medium,high,medium,medium,high,medium,high,medium,medium,high,medium,5
2447,low,medium,low,high,medium,low,medium,high,high,high,medium,6
2448,medium,medium,low,low,medium,low,low,medium,high,high,medium,6
2449,medium,medium,low,low,medium,high,high,medium,high,high,medium,6
2450,medium,high,low,high,low,medium,high,high,high,medium,low,5
2451,medium,high,low,high,low,medium,high,high,high,medium,low,5
2452,high,low,low,low,low,medium,medium,medium,high,high,medium,7
2453,low,low,low,low,low,medium,medium,medium,high,high,medium,6
2454,medium,medium,medium,high,low,high,high,high,high,high,low,5
2455,high,high,medium,high,low,high,high,high,low,high,low,6
2456,high,high,medium,medium,low,medium,high,high,medium,high,medium,6
2457,high,high,medium,medium,low,medium,high,high,medium,high,medium,6
2458,high,high,medium,high,low,high,high,high,low,high,low,6
2459,medium,high,low,high,medium,medium,medium,high,low,medium,low,5
2460,medium,high,low,high,medium,medium,medium,high,low,medium,low,5
2461,high,medium,medium,medium,high,low,low,medium,low,medium,low,5
2462,high,medium,medium,medium,high,low,low,medium,low,medium,low,5
2463,medium,medium,low,high,medium,medium,high,high,high,high,medium,7
2464,low,medium,low,low,high,medium,medium,medium,low,medium,low,5
2465,high,medium,high,high,medium,high,high,high,low,medium,low,5
2466,high,medium,high,high,medium,high,high,high,low,medium,low,5
2467,medium,medium,medium,low,low,low,medium,medium,medium,high,medium,6
2468,low,low,medium,low,low,low,low,low,high,medium,medium,6
2469,medium,high,low,low,high,medium,medium,medium,medium,low,low,5
2470,high,medium,medium,low,high,medium,high,medium,low,medium,low,5
2471,low,high,high,medium,low,low,high,low,high,medium,high,7
2472,high,medium,low,high,low,low,low,high,medium,low,medium,6
2473,low,medium,low,high,medium,low,medium,high,low,high,medium,6
2474,low,medium,medium,low,low,low,low,low,high,medium,high,7
2475,high,high,low,low,high,low,low,medium,medium,high,medium,5
2476,medium,medium,high,low,high,high,medium,medium,low,medium,low,6
2477,low,medium,medium,low,low,low,low,low,high,medium,high,7
2478,low,medium,high,medium,medium,high,high,high,medium,medium,low,6
2479,medium,medium,medium,high,high,low,medium,high,high,medium,low,6
2480,medium,high,medium,low,high,low,low,medium,medium,high,medium,5
2481,low,high,high,medium,medium,medium,high,medium,low,medium,medium,6
2482,low,medium,high,medium,medium,high,high,medium,medium,medium,low,6
2483,low,medium,high,medium,medium,high,high,high,medium,medium,low,6
2484,low,medium,low,medium,high,high,high,high,medium,medium,low,5
2485,high,medium,medium,medium,medium,high,high,high,low,high,medium,6
2486,medium,medium,medium,high,high,medium,medium,high,low,medium,low,5
2487,high,medium,low,low,low,low,medium,low,low,medium,high,6
2488,high,medium,low,low,low,low,medium,low,low,medium,high,6
2489,low,medium,low,high,high,medium,high,high,medium,medium,low,6
2490,high,high,high,medium,low,low,low,high,high,high,medium,6
2491,low,low,low,medium,high,high,high,medium,medium,low,low,5
2492,low,medium,low,high,high,medium,high,high,medium,medium,low,6
2493,high,high,low,high,high,low,medium,high,medium,medium,low,4
2494,high,high,low,high,high,low,medium,high,medium,medium,low,4
2495,low,low,low,low,medium,high,medium,low,medium,medium,medium,5
2496,high,low,low,high,low,low,low,high,low,low,medium,5
2497,medium,low,medium,high,medium,medium,medium,high,high,medium,low,5
2498,medium,low,medium,high,medium,medium,medium,high,high,medium,low,5
2499,medium,medium,medium,medium,medium,medium,high,medium,high,medium,high,6
2500,medium,low,medium,high,medium,medium,medium,high,high,medium,low,5
2501,low,high,high,medium,medium,medium,high,medium,medium,medium,medium,5
2502,high,high,medium,low,medium,low,medium,high,medium,medium,low,4
2503,high,high,medium,low,medium,low,medium,high,medium,medium,low,4
2504,high,medium,low,medium,high,high,high,high,medium,low,low,6
2505,high,high,high,high,high,medium,high,high,medium,high,low,6
2506,medium,high,medium,medium,medium,high,high,medium,medium,medium,low,6
2507,medium,high,medium,medium,low,medium,medium,low,high,medium,high,7
2508,medium,medium,low,high,medium,high,high,high,high,low,medium,6
2509,high,medium,high,high,high,low,medium,high,low,high,low,5
2510,low,medium,high,medium,medium,high,high,high,high,medium,low,6
2511,low,medium,high,high,high,high,high,high,medium,high,low,6
2512,low,low,medium,low,medium,low,low,low,high,medium,medium,6
2513,medium,high,medium,low,low,low,medium,low,low,medium,medium,5
2514,medium,high,medium,medium,low,medium,medium,low,high,medium,high,7
2515,medium,low,medium,medium,low,low,low,low,low,medium,high,7
2516,medium,high,medium,medium,low,medium,high,medium,high,high,medium,6
2517,high,high,medium,high,low,high,high,high,medium,high,low,6
2518,medium,low,medium,medium,low,low,low,low,low,medium,high,7
2519,low,medium,high,high,medium,high,high,high,medium,medium,low,5
2520,high,high,low,high,high,medium,high,high,medium,medium,low,5
2521,low,low,medium,low,low,medium,medium,low,high,high,high,7
2522,high,low,low,high,high,medium,high,medium,medium,low,medium,8
2523,high,low,high,medium,high,medium,high,medium,medium,low,high,5
2524,high,high,low,high,high,medium,high,high,medium,medium,low,5
2525,high,low,low,high,high,medium,high,medium,medium,low,medium,8
2526,low,low,medium,low,low,medium,medium,low,high,high,high,7
2527,high,low,medium,low,low,medium,low,medium,high,medium,medium,6
2528,low,low,high,low,low,low,low,medium,high,medium,medium,6
2529,medium,high,low,high,medium,low,high,high,medium,medium,low,5
2530,low,medium,low,low,low,high,high,low,high,high,medium,6
2531,medium,high,low,medium,high,low,high,medium,medium,low,low,4
2532,medium,high,low,medium,high,low,high,medium,medium,low,low,4
2533,low,low,medium,high,medium,high,medium,medium,medium,low,medium,5
2534,medium,low,medium,low,medium,low,low,low,medium,medium,medium,7
2535,high,medium,medium,medium,low,low,high,medium,low,medium,medium,6
2536,low,low,low,high,medium,low,low,high,medium,low,low,6
2537,low,medium,low,high,low,medium,medium,high,high,medium,low,6
2538,low,medium,low,high,low,medium,medium,high,high,medium,low,6
2539,low,medium,low,low,low,low,low,low,high,medium,medium,5
2540,high,medium,medium,high,low,medium,high,high,medium,medium,medium,5
2541,high,medium,medium,medium,low,low,high,medium,low,medium,medium,6
2542,high,medium,medium,high,low,low,high,high,medium,medium,medium,5
2543,low,low,low,high,medium,low,low,high,medium,low,low,6
2544,medium,high,medium,low,low,medium,low,medium,medium,medium,medium,6
2545,high,low,low,low,medium,low,high,low,high,high,high,6
2546,medium,high,high,medium,medium,low,high,high,high,high,low,5
2547,low,high,low,medium,high,low,medium,medium,medium,medium,low,5
2548,low,medium,high,medium,medium,high,high,high,medium,high,low,6
2549,high,low,high,high,high,high,high,high,low,high,low,5
2550,low,high,low,medium,high,low,medium,medium,medium,medium,low,5
2551,low,medium,high,medium,medium,high,high,high,medium,high,low,6
2552,medium,high,high,high,medium,low,low,high,low,medium,low,5
2553,low,low,high,low,medium,high,medium,low,medium,high,high,7
2554,low,low,high,low,medium,high,medium,low,medium,high,high,7
2555,low,low,high,low,medium,high,medium,low,medium,high,high,7
2556,high,low,high,high,low,high,high,high,low,high,low,5
2557,low,low,high,low,medium,high,medium,low,medium,high,high,7
2558,low,low,high,low,medium,high,medium,low,medium,high,high,7
2559,low,medium,high,low,high,low,medium,medium,medium,low,low,5
2560,medium,high,low,low,low,low,low,low,low,low,high,6
2561,medium,medium,low,high,high,medium,medium,high,low,medium,low,5
2562,medium,high,low,low,low,low,low,low,low,low,high,6
2563,low,medium,high,low,high,low,medium,medium,medium,low,low,5
2564,medium,high,low,low,low,medium,high,low,low,medium,medium,6
2565,high,high,low,high,medium,high,high,high,medium,medium,low,5
2566,medium,low,low,low,low,low,low,low,medium,medium,high,7
2567,medium,medium,low,low,low,medium,medium,low,high,medium,high,5
2568,medium,medium,medium,medium,medium,high,high,high,medium,medium,low,6
2569,medium,medium,low,high,low,low,medium,high,high,high,medium,6
2570,medium,medium,low,low,low,medium,medium,low,high,medium,high,5
2571,medium,low,medium,low,low,medium,low,low,medium,low,high,6
2572,medium,low,low,low,low,low,low,medium,high,medium,medium,5
2573,low,high,medium,medium,low,medium,high,medium,medium,medium,low,5
2574,medium,medium,low,low,medium,high,medium,medium,medium,medium,medium,5
2575,medium,low,high,high,low,high,high,high,low,medium,low,6
2576,low,medium,high,high,medium,high,high,high,medium,medium,low,5
2577,medium,medium,medium,high,low,high,high,high,medium,medium,low,5
2578,low,medium,low,low,low,high,low,low,high,high,high,7
2579,low,medium,high,low,high,high,low,medium,low,low,low,6
